,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
4,0.8289,0.6586541393689659,0.026197042424242437,0.2274343434343434,0.16284867629651123,0.589953403926866,0.11534133837200652,0.8342345920353306,0.005334592035330585,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
5,0.826,0.6781529160337195,0.030638609090909097,0.944050505050505,0.16582930872398455,0.5812696045994145,0.12817301701457653,0.821269999146258,0.004730000853742075,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
6,0.832,0.6587757441005786,0.02823150707070707,0.41408080808080805,0.15850556665242113,0.592428949292486,0.11824784026501314,0.8331458603806469,0.001145860380646735,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
7,0.8332,0.6459817309825466,0.02817592525252526,0.3141818181818182,0.16152429901444443,0.5801719687972096,0.1251552687158699,0.8256933145013118,0.007506685498688284,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
8,0.8292,0.6569921318643758,0.023945641414141412,0.8641313131313131,0.17292806451264578,0.5734737471428021,0.1259694315119987,0.8226954634022413,0.0065045365977587505,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
9,0.8276,0.6663688653388866,0.02626264343434343,0.21744444444444444,0.16178820007418593,0.5911559973140547,0.11508944379488029,0.8342672702523001,0.0066672702523001,GPcalib,ImageNet,pnasnet5large,1000,50000,1000,10000
0,0.826,0.6610675528746941,0.020891755555555554,0.27422222222222226,0.1597522821737905,0.5946622079154018,0.11813067570377117,0.8318952860459649,0.005895286045964954,GPcalib,ImageNet,nasnetalarge,1000,50000,1000,10000
1,0.8217,0.6820834780406718,0.024766617171717166,0.924070707070707,0.17556228659147832,0.5628245930810551,0.13248704437899542,0.8131870205801316,0.008512979419868394,GPcalib,ImageNet,nasnetalarge,1000,50000,1000,10000
2,0.828,0.6841367564859707,0.023776894949494937,0.44415151515151513,0.16215856184229743,0.5934878593109577,0.11254049710725186,0.8368963801966802,0.00889638019668021,GPcalib,ImageNet,nasnetalarge,1000,50000,1000,10000
3,0.8257,0.6801634359107958,0.02220221616161616,0.4541414141414141,0.1646777396843037,0.5909750718207827,0.12176144554579212,0.8281685294312019,0.0024685294312018907,GPcalib,ImageNet,nasnetalarge,1000,50000,1000,10000
