n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
1219	2336	0.10803080308030799	0.45265389689208596	0.06849428276160946	0.7476767676767677	0.1304319670703548	0.605494021388223	0.14600462489606827	4.147087955735902	8.256619144602855	0.06481962262421197	0.82714957429548	TemperatureScaling	0
1318	2586	0.10649064906490646	0.4440294712007983	0.07002692491471363	0.2610606060606061	0.1264540842936922	0.6031882029733681	0.1455643065141608	4.1437919598420825	8.390495867768598	0.06582916578985633	0.8276801851452371	TemperatureScaling	0
1416	2836	0.1061606160616062	0.44668779031471223	0.07170507050705066	0.2712698412698412	0.12456736707406946	0.6076794044956577	0.14694511254954995	4.135417598804097	8.41968911917098	0.06683370892483867	0.8270056750135552	TemperatureScaling	0
1599	3079	0.10583058305830584	0.4298499842433128	0.045391705837250315	0.2933261183261183	0.11766915182833303	0.6450704025512668	0.1165764560135288	5.533453534360367	8.449064449064448	0.03597092488708947	0.8581984920546047	TemperatureScaling	0
1669	3329	0.10330033003300332	0.42054953713467313	0.047320044702882896	0.7494588744588744	0.11929056375189705	0.639613515824781	0.11667242632209493	5.482130919768604	8.680511182108624	0.03854783889900179	0.858151831067995	TemperatureScaling	0
1726	3579	0.10506050605060502	0.4228087194576102	0.04482940516273841	0.7494588744588744	0.11779035656544105	0.6429548276700057	0.11541840632580498	5.570643783237331	8.518324607329847	0.035743330586971225	0.8591961633624238	TemperatureScaling	0
1804	3829	0.10297029702970295	0.4226000146764827	0.04622384143176214	0.7494588744588744	0.11596903631474847	0.6514369090694184	0.11629879204300395	5.601407354502322	8.711538461538463	0.03724481885915057	0.8597848841111465	TemperatureScaling	0
1882	4079	0.10308030803080304	0.4222118044176536	0.0439182426179125	0.740901875901876	0.11433359336627394	0.653594687761804	0.11512130310068577	5.677443445807473	8.701173959445041	0.03588182197437635	0.8610378699948207	TemperatureScaling	0
1950	4329	0.10121012101210125	0.4187750760732099	0.043882432687713156	0.49767676767676766	0.11186660366008658	0.655914721483606	0.11528326064070452	5.689592034769477	8.880434782608692	0.03723021954561476	0.861559659442284	TemperatureScaling	0
2012	4579	0.10011001100110006	0.41819414100048297	0.045388216599437634	0.7651515151515151	0.11242743483504995	0.65662766280421	0.11665486482235889	5.628806512305488	8.989010989010994	0.0392415424747046	0.8606484465241953	TemperatureScaling	0
2087	4829	0.09999999999999998	0.41449369604876457	0.04478943449900539	0.7651515151515151	0.1124073758525632	0.6524274370554285	0.11627317356109274	5.611160485893397	9.000000000000002	0.03940311249944063	0.8605968875005595	TemperatureScaling	0
2144	5079	0.09966996699669972	0.41212982323198016	0.050044921158782465	0.7651515151515151	0.11377640380630898	0.6487416698646608	0.11660056906747093	5.563795057374603	9.033112582781452	0.0403189333719251	0.8600110996313751	TemperatureScaling	0
2212	5329	0.09966996699669972	0.4115924401650861	0.050069301374581834	0.7476767676767677	0.11409297788144107	0.645182095691462	0.11698976057717404	5.514859527093895	9.033112582781452	0.041024116817065734	0.8593059161862345	TemperatureScaling	0
2285	5579	0.09922992299229927	0.4116751213849542	0.04960528830660837	0.7564141414141414	0.11304625068564048	0.6472467728485481	0.11719086751216284	5.523013751744543	9.077605321507757	0.041335779326754515	0.8594342976809463	TemperatureScaling	0
