n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
3248	9249	0.09790979097909791	1.3457706580980155	0.037082527039089874	0.37464646464646467	0.10351945845978618	0.6689236065240928	0.0986110252905923	0.8786283391005045	GPCalibration	0
3250	9499	0.09878987898789882	1.34590109385956	0.037423283223706215	0.37464646464646467	0.10340599697478316	0.6672813638412887	0.0980993596635299	0.8787226304032829	GPCalibration	0
3292	9749	0.09823982398239828	1.3517360592584269	0.03681774675637842	0.6166161616161616	0.10271742835030402	0.6703586351563994	0.09875762049000499	0.8785604011043008	GPCalibration	0
3334	9999	0.0988998899889989	1.3515970589379198	0.036229104584569495	0.3666161616161616	0.1020661347110678	0.6681699219953319	0.09797269941101767	0.8788988315729548	GPCalibration	0
3395	10249	0.09911991199119907	1.3541450323097306	0.038304504882532016	0.39212121212121215	0.10046005771115454	0.6695580172397396	0.09721850420629145	0.8796644051251578	GPCalibration	0
3443	10499	0.098019801980198	1.3525100728012376	0.03884142959037778	0.6515656565656566	0.09932553476994603	0.6707512018657833	0.09687386755732008	0.8803487877623704	GPCalibration	0
3496	10749	0.09768976897689774	1.3507838945123616	0.0377975796889193	0.6166161616161616	0.09885493525051756	0.670498280937306	0.09782800599870407	0.8795398424940547	GPCalibration	0
3547	10999	0.09768976897689774	1.3550686853267737	0.03770740787876135	0.6777777777777778	0.09927385594908862	0.6712360527000948	0.09827929632771858	0.8792047113660876	GPCalibration	0
3588	11249	0.09757975797579754	1.3590769892550205	0.03887788241716969	0.4008585858585859	0.09911958529017942	0.6713845146779653	0.09855601878378886	0.8789948341513679	GPCalibration	0
3624	11499	0.09812981298129808	1.3639890289663656	0.037983217464284805	0.37464646464646467	0.09912232895997425	0.6706859932503042	0.09797669287495861	0.8793222197789176	GPCalibration	0
3667	11749	0.09735973597359737	1.3634759570597843	0.03751366095817957	0.3904040404040404	0.0987170631659403	0.6713293646503028	0.09832462323367736	0.8792489498441358	GPCalibration	0
3711	11999	0.09768976897689774	1.3640499376416133	0.038290075487025586	0.36590909090909096	0.0985262788512254	0.6704167333414138	0.0981064776942586	0.8792806082683021	GPCalibration	0
